Year,Albedo ERF
1835,-0.017270596676371482
1836,-0.01764006909049631
1837,-0.01801746451507939
1838,-0.018402159749396633
1839,-0.01879353159272396
1840,-0.019190956844337283
1841,-0.019593796104753727
1842,-0.020001007649187226
1843,-0.020411130168695005
1844,-0.02082268270189561
1845,-0.02123418428740758
1846,-0.021644153963849472
1847,-0.022051110769839833
1848,-0.022453573743997205
1849,-0.022850095907168442
1850,-0.023240985194780975
1851,-0.023629117821532968
1852,-0.02401757408895301
1853,-0.024409434298569684
1854,-0.024807778751911577
1855,-0.02521568775050726
1856,-0.02563624159588533
1857,-0.02607252058957437
1858,-0.02652760503310295
1859,-0.027004575227999664
1860,-0.027506511475793097
1861,-0.028036494078011828
1862,-0.028597603336184437
1863,-0.02919291955183951
1864,-0.029825523026505638
1865,-0.030498494061711394
1866,-0.031214912958985364
1867,-0.03197786001985613
1868,-0.03279041554585228
1869,-0.03365508457691235
1870,-0.034566189396638
1871,-0.035511963646814575
1872,-0.03648049603664622
1873,-0.03745987527533698
1874,-0.038438190072090976
1875,-0.03940352913611228
1876,-0.04034398117660499
1877,-0.04124763857830182
1878,-0.04210792560373501
1879,-0.04293425862692679
1880,-0.043739039717470465
1881,-0.04453467094495936
1882,-0.045333554378986805
1883,-0.0461480920891461
1884,-0.046990686145030595
1885,-0.047873738616233584
1886,-0.0488088034809712
1887,-0.049793721592574294
1888,-0.05081522835400009
1889,-0.051859739895526565
1890,-0.052913672347431696
1891,-0.053963441839993444
1892,-0.05499546450348981
1893,-0.05599615646819878
1894,-0.056951933864398285
1895,-0.05785226084457598
1896,-0.05872068937818271
1897,-0.05960214111837251
1898,-0.06054186693028603
1899,-0.06158511767906385
1900,-0.06277685971927556
1901,-0.06413021512687743
1902,-0.06559780167029433
1903,-0.06712546926357695
1904,-0.06865906782077598
1905,-0.0701444472559421
1906,-0.07152746121890885
1907,-0.07277066869304305
1908,-0.07389172278849437
1909,-0.07491961826357237
1910,-0.07588332242088455
1911,-0.07680547821001636
1912,-0.07769436232028946
1913,-0.07855626732049094
1914,-0.07939748577940779
1915,-0.08022431026582715
1916,-0.08104303334853605
1917,-0.08185994759632154
1918,-0.08268134557797069
1919,-0.08351350227040891
1920,-0.08436121832285186
1921,-0.08522672892551074
1922,-0.08611201223191339
1923,-0.08701904639558765
1924,-0.08794980957006142
1925,-0.08890627990886257
1926,-0.08989043556551897
1927,-0.09090425469355844
1928,-0.09194971544650889
1929,-0.09302879597789818
1930,-0.0941414470567331
1931,-0.09527436664997779
1932,-0.09640892834011994
1933,-0.09752649128785278
1934,-0.09860841465386956
1935,-0.09963605759886358
1936,-0.10059077928352805
1937,-0.10145393886855623
1938,-0.1022068955146414
1939,-0.1028310083824768
1940,-0.10330827818048714
1941,-0.10364765714386556
1942,-0.10389431868538646
1943,-0.10409598262778078
1944,-0.10430036879377948
1945,-0.1045551970061135
1946,-0.10490818708751382
1947,-0.10540705886071133
1948,-0.10609953214843705
1949,-0.10703332677342188
1950,-0.10825616255839678
1951,-0.10979979011134511
1952,-0.1116183866638301
1953,-0.11364260808130815
1954,-0.11580310496919607
1955,-0.11803052793291065
1956,-0.12025552757786868
1957,-0.12240875450948693
1958,-0.12442085933318218
1959,-0.12622249265437127
1960,-0.1277488566446576
1961,-0.12899243151295436
1962,-0.129984835759702
1963,-0.13075844576060888
1964,-0.13134563789138337
1965,-0.13177878852773392
1966,-0.13209027404536888
1967,-0.1323124708199966
1968,-0.13247775522732555
1969,-0.13261850364306405
1970,-0.1327670924429205
1971,-0.13295589778693376
1972,-0.1332101925370933
1973,-0.13352944976779738
1974,-0.13390728686357203
1975,-0.1343373212089431
1976,-0.1348131701884365
1977,-0.1353284511865782
1978,-0.13587678158789418
1979,-0.1364517787769103
1980,-0.13704706013815254
1981,-0.137047060138
1982,-0.137443327396
1983,-0.137815854396
1984,-0.138155561705
1985,-0.138460903926
1986,-0.138775061618
1987,-0.139134144717
1988,-0.139532919312
1989,-0.139963120184
1990,-0.14042229197
1991,-0.14090758285
1992,-0.141409177116
1993,-0.141893665751
1994,-0.142310219992
1995,-0.142719351853
1996,-0.143197481327
1997,-0.143727632551
1998,-0.144268596407
1999,-0.144795834597
2000,-0.145298901591
2001,-0.145775368289
2002,-0.146225542927
2003,-0.146649974253
2004,-0.147052062479
2005,-0.147433854488
2006,-0.147800793367
2007,-0.148160596907
2008,-0.148520117833
2009,-0.148885734989
2010,-0.149261493753
2011,-0.149646177935
2012,-0.150038984325
2013,-0.15043601629
2014,-0.15083145656
2015,-0.151219539181
2016,-0.151592613621
2017,-0.151943106572
2018,-0.152269283778
2019,-0.152572729508
