Ocean.Initial Cold surface ocean pH,Ocean.Initial Warm surface ocean pH,Ocean.Initial Cold surface ocean carbon reservoir,Ocean.Initial Warm surface ocean carbon reservoir,Ocean.Initial Intermediate depth ocean carbon reservoir,Ocean.Initial Deep ocean ocean carbon reservoir
8.31082923191,8.14548043113,92.4274840372,2316.78944529,7099.56361686,27045.6281486
8.67669515436,8.14349714455,533.786261505,1534.99874957,8608.09712719,26355.4035827
8.31301046408,8.15332637141,497.063371527,1851.46334578,4883.80463737,29700.3283298
8.50432899154,8.1455747323,313.3716423,3066.09208427,5378.44423936,28184.5269796
8.41279991436,8.15071489731,416.635264414,2853.21004578,7914.72308134,25571.1610654
8.67781992068,8.12539057981,306.550191907,2771.82716874,4082.73634943,29618.2465362
8.36754089587,8.14686466135,570.534624356,1682.08050133,4153.95293237,30422.7328972
8.43235975702,8.14512483019,406.441165223,2573.4604728,3467.15173486,30372.4019523
8.48227111986,8.14588860416,494.337145018,1752.44928902,4896.93661611,29909.8309124
8.47048334195,8.14459249913,442.550432123,1385.19342907,8924.7751885,26216.9959133
8.47830144697,8.14117387836,359.121153163,1160.36616267,4950.90739386,30467.7539615
8.58326192244,8.13215877221,309.491382823,624.022321375,3527.567523,32781.1677997
8.66291803975,8.13810388404,262.418912464,2329.41971998,4630.16233748,29793.5247899
8.6412158952,8.14556168999,493.317359366,1473.05295412,6577.8212798,28655.0644563
8.31188692201,8.14808001458,206.577146299,3206.33417315,7925.46618186,24953.6791171
8.34597392243,8.14441204197,335.858219805,1078.701574,6577.22699753,28695.3552576
8.77362893298,8.14518908807,97.4679416343,2846.10426631,8997.1767689,25068.260918
8.33070147229,8.15258239016,646.781611028,2741.31087554,5927.48958447,27344.9598428
8.89797181764,8.14451088802,398.945575271,3084.72672929,9500.07022783,23974.8479583
8.44032877744,8.13634815726,508.212119267,2815.59748036,6834.94138188,26370.9676318
8.34922991137,8.14377455191,245.132959177,2204.7788613,7718.71458537,26315.1850461
8.58638025973,8.14227222017,433.214837278,2034.69856992,7079.82436032,27343.4752239
8.41575264728,8.14587548152,550.881147682,1290.44798255,5090.29351015,30024.5698869
8.59247586268,8.1311351333,410.615195761,740.738888913,7418.85867027,28352.3728001
8.37095884474,8.14465412713,305.987548791,2944.42107182,7162.04478919,26114.7335803
8.54371824456,8.14099467248,101.126319572,2147.5912323,6339.38095409,28353.1474012
8.40352610114,8.14396997406,448.278837129,2960.32105086,5836.64038219,27352.8644718
8.80146921669,8.13426512055,517.591070281,2946.64757421,6991.33623828,26233.1802282
8.74144149982,8.13145863826,308.792746916,1593.11233932,3817.62275705,31329.6559294
8.63111942917,8.14496846031,140.757601703,1086.08588682,6884.10605264,29156.4457527
