Run,Ocean.Depth of warm surface ocean layer[1],Ocean.Thickness of intermediate ocean layer[1],Ocean.Depth of cold surface ocean layer[1],Ocean.Reference overturning strength in Sv[1],Ocean.Reference intermediate to warm surface ocean mixing strength[1],Ocean.Reference cold surface to deep ocean mixing strength[1],Ocean.Reference strength of biological carbon pump in low latitude ocean[1],Ocean.Reference strength of biological carbon pump in high latitude ocean[1],Ocean.High latitude carbon pump transfer efficiency[1],Ocean.Atmospheric CO2 Concentration 1750[1],Ocean.Initial Cold surface ocean pH[1],Ocean.Initial Warm surface ocean pH[1],Ocean.Initial Cold surface ocean carbon reservoir[1],Ocean.Initial Warm surface ocean carbon reservoir[1],Ocean.Initial Intermediate depth ocean carbon reservoir[1],Ocean.Initial Deep ocean ocean carbon reservoir[1]
Run 309,253.49573979073207,489.8397306457265,460.3259423244059,11.08028070521584,88.27712049907834,24.9187040752739,0.0112399296179208,9.426657012992653,0.4894064149082273,276.2502470838607,8.4321512727,8.1435878629,580.655984952,1848.4479978,4564.88476883,29723.6372818
Run 310,250.0262287860968,511.9656959025271,248.82006900356632,13.664579499775936,61.57335339044312,13.149437771308088,2.4596322259176504,11.3375860565928,0.3550165626162102,280.9205865485731,8.74436115647,8.13921904648,281.455029282,1825.53230298,5161.90539717,30004.7966952
Run 311,110.05201580709542,765.705265395292,377.94338464758886,25.85983633121028,55.95095979718069,26.67583559805956,0.5242892972010398,4.522643450545861,0.161596623033976,278.48981805472545,8.29167552846,8.1487400081,494.375229937,801.264947001,7309.23583856,28155.5105892
Run 312,410.3696087336887,941.6615042086676,131.76042496108377,29.85002702244151,86.30555665430118,26.243616657091824,0.3911478593788735,7.900686607747833,0.1782843357964574,280.2463320994435,8.47076619207,8.13304033623,164.335469778,3001.61590834,9009.00054911,24292.4837025
Run 313,492.3312476569472,437.5662685229992,450.2615348186204,15.491625400139926,71.55165729687617,24.38339332446679,2.84676641883714,9.35582539015784,0.2161843406358764,279.6120556828244,8.60570954636,8.13765598393,537.261496468,3596.3245393,4392.37456748,28288.8080974
Run 314,334.3345030642789,969.3450904626236,140.2758241605157,20.032537190706105,61.67440846170884,23.463365716771985,1.2779613678377506,4.826917718342309,0.226121999151233,279.829602749782,8.31070319721,8.14864589141,182.66633053,2434.28643072,9251.36651475,24676.0567852
Run 315,175.84322035880302,625.8019603852488,90.10742418723824,14.640153733725215,62.128467774339896,13.050564833226757,1.798021462493955,11.40989194447852,0.3459482561180478,279.37205982311275,8.76555651438,8.14029675651,101.025853457,1283.48753685,6237.19327815,29708.9467492
Run 316,444.25460956274816,525.6239746529565,290.847749639737,23.41578860172576,86.65958855747171,29.341974339340428,0.1264579269018093,5.833261812588919,0.2655082337714449,280.6557640224453,8.33250357564,8.13890334491,376.7277146,3243.89066904,4913.51539676,27862.990033
Run 317,121.14923273276648,674.9406795869077,143.0846012226454,28.626796601106484,88.73167133731405,11.267900897481216,0.0866698525209862,6.13998210501811,0.3215497224088883,278.28080707905207,8.38741688624,8.14028086779,182.730955793,884.259186546,6315.70062338,29401.2393149
Run 318,400.0941718717248,866.0557217881369,447.4321852791514,22.373098568075463,75.62585990260318,21.23894765889166,1.6310654943983138,9.39259684622689,0.4185481417483173,278.2311761339581,8.44248432866,8.14370642843,562.730044941,2917.34979937,8335.7306708,24744.9270017
Run 319,362.566927321493,971.900458735856,261.8751519073925,10.878336018326385,51.85165059843997,10.798579930720368,1.3992632885467675,9.942652076984736,0.4259039621427959,277.56226885889475,8.61941666926,8.15145644822,310.937169622,2637.66351451,9478.28885396,24506.8077945
Run 320,246.77009904490868,803.8043725900661,138.82190371009025,29.92837743021276,51.38495167228535,13.504894426044707,0.8804141795533834,7.091170173220736,0.1467025078053751,279.16241340930674,8.47931430234,8.14595228356,172.704511012,1798.1786158,7883.99126283,27120.0158342
Run 321,303.597892965361,492.3113285646808,477.3792796797032,26.77695917666508,52.988529275206936,12.857830588265571,2.470966803126532,8.725499428439896,0.2029428532502543,275.5114063697858,8.56078658049,8.14936584577,578.604044455,2210.05317743,4995.82046402,29288.4853984
Run 322,251.87508738216547,340.07610745311365,258.33855941342017,22.9032040485008,85.18252147180303,28.03663235401265,2.5690871816550453,7.49384426078498,0.2109036488111662,278.65733747497177,8.4317609235,8.13940316939,325.908595162,1838.9073344,3311.92846321,31432.7150983
Run 323,169.61466980642632,971.7774584812004,280.4021332221953,12.080827642538177,70.56006233850084,29.80802124600633,0.791252992433648,5.903495739385449,0.2829203688211111,280.2678139698444,8.34605338163,8.14392608305,361.973664858,1236.6842832,9212.15420135,25866.1284812
Run 324,128.69408999172322,436.6303083456018,400.4167087459867,11.841361295262107,51.87011027793579,21.737096389995116,1.871707278594671,9.713554227099268,0.396573981412134,278.88166985482866,8.51079378956,8.14651028817,493.298251744,937.623920474,4367.64659523,31457.7142288
Run 325,115.52678961072812,384.6863561485721,391.6911066803887,12.51799862448311,58.72979211291066,28.14020153483557,1.918579119607081,9.382743044684156,0.414482865372764,278.42250426859084,8.43818474378,8.14579924036,493.239466629,841.865042537,3804.73144152,32020.7518993
Run 326,86.52268850922259,694.5127575624529,51.78876077597399,21.78160054206083,89.35689945770619,15.60572336191207,2.986453317432612,6.999499897219541,0.4490792535967269,279.26457907875755,8.34738786953,8.14682740799,66.8323219971,630.309843059,6613.23829247,29656.0219317
Run 327,439.2983283798524,903.7494110111808,127.93936931856427,20.28388643696289,80.38532967993976,13.508747151455482,1.563979743579618,11.749755338582954,0.19043044642863,280.9820711728286,8.96739356625,8.12997145367,130.801762306,3216.11671958,8933.43553582,24581.6266057
Run 328,65.60619557245829,979.3880374345802,220.26611610360868,26.264526039404856,63.99069537893004,17.34616459768838,0.8429543846462595,7.972995912706542,0.2803952703129553,279.52467687531686,8.46406865878,8.14261905635,275.279408875,478.531492148,9461.04393186,26775.8410557
Run 329,336.6204431524962,448.2166690694373,300.8733551983579,13.477335280578316,67.80310429104969,26.85480207100555,0.6144308562098505,6.118522307212973,0.3304324870314328,280.1819736887064,8.34462761948,8.1446981101,388.539992053,2453.78769073,4241.49465,29614.1571305
Run 330,54.0391222396372,689.9371292422575,371.6764498917317,15.68445177147499,55.20972851769348,18.36147702539924,0.6712257344292216,11.824677891811287,0.315367393849101,277.03499174424604,8.76896457246,8.14138551454,416.113975881,394.307687928,6874.25142303,29632.8533169
Run 331,116.94594895885264,915.1051442249884,315.7968962598127,29.341972710587655,76.27724498797335,11.49358485011324,0.7520748701994656,5.142218216071293,0.4912862304007591,281.6625004028984,8.26349536522,8.14344783386,415.749416583,852.785437449,8577.75508409,26734.1944404
Run 332,58.96106839942702,725.775763828623,324.0620505086149,25.68846048469304,54.06321900785571,18.59115686563593,2.510063018774804,8.906954942275746,0.1950785120228446,274.0624313890625,8.56155315859,8.15298921461,392.669973517,428.74710756,7281.70715595,29210.8358792
Run 333,65.62779137434286,685.1290160525446,319.842756359175,17.307477085931133,83.61700088224895,27.64528679584234,1.4247408380378346,11.54206744856917,0.286958337979098,278.5021602918453,8.67222591332,8.13284176292,372.341804257,480.060994282,6712.78676921,29556.8885064
Run 334,300.74542662584355,664.2566583981725,444.7400563243732,24.773155304108077,79.91270546001611,19.12744323829424,2.566062688253817,11.16421949568304,0.2662142694150356,280.3333622985102,8.66454752177,8.13402911808,519.285402179,2199.17427387,6595.28185505,27622.5032934
Run 335,137.65554168224392,833.4031034225095,449.89208910231673,16.26147195431827,58.881496522733954,28.15856154152976,1.9347438603544511,4.124981478454673,0.4803123989270123,279.61181263896987,8.20465619447,8.15521801894,599.821612664,1000.30484563,7894.93622873,27129.5691627
Run 336,202.5192319602024,681.2694564829023,199.30111553776644,18.02106044272417,60.37482351162917,26.101772184655943,1.4882440884305597,4.755843921920764,0.1898220302660177,276.6593438323403,8.31664530018,8.15269626222,259.157887116,1472.76679456,6529.96423298,28544.6460068
Run 337,74.54897609335913,993.9483751230932,163.87151357915695,23.000181691288383,57.21589277066956,11.29219726096052,2.948134728247356,9.584768331789885,0.1943264355468818,283.2134011584981,8.69803284122,8.14408355394,188.87759739,543.532281626,9930.41136214,26754.7247722
Run 338,68.30570540507836,881.3651843127484,379.4651542508153,17.157173704391013,73.45985624604354,27.314568963148396,2.3591268167549604,5.495543067339282,0.3957805574878374,280.22111941031363,8.27688148294,8.14946544816,498.063703616,497.211648698,8385.97036674,27403.0289061
Run 339,201.43953889839543,753.0890097709622,339.964139770797,20.00902865888008,85.43272252266031,23.48094364926505,2.2518243410791734,11.302849469523792,0.1433909389032116,278.567183302688,8.83360202134,8.130625839,370.039905046,1474.46736427,7492.34802395,27705.1773041
Run 340,485.6476558597704,514.7890861871526,271.9887812177828,13.929882102339324,54.27625272692799,28.719099456887605,1.3539206532101549,4.903418151082981,0.4293296087200292,276.0261442724933,8.25065781652,8.15744661375,359.100432942,3526.71479134,4893.06572215,27665.9302403
Run 341,385.9764478191666,429.2636844294382,270.5927400887708,22.461310257925057,53.09362622898383,27.39894033932353,1.6192345270888269,5.20929717901749,0.2699407014153712,278.0602621952168,8.28763535002,8.1523504486,354.289046089,2807.20457054,4166.18884425,29348.9820635
Run 342,388.0526175464502,722.9455018611727,63.75715281565488,20.561794181860456,66.90500594264508,11.771901163290456,0.8614765634930589,9.39862258458828,0.4731808977163634,277.1972230633146,8.46542368487,8.14588943685,79.6480915919,2827.71975422,6934.44250387,26904.8167894
Run 343,296.3452840950482,413.2388006478082,241.82700549846865,19.17387039094888,85.24652231695853,26.26451983217696,1.006564385090701,11.06344251128605,0.3928284781542656,277.4528419833758,8.53662851571,8.13614189787,295.442060988,2165.64115293,3990.31815131,30407.6183297
Run 344,183.57032488902493,448.6551328781668,97.1018989886204,29.85144324748815,87.83409341200232,16.15832079493972,2.3165990587744227,8.432418142493944,0.2443367155518598,279.431270746526,8.49905842227,8.1362272128,120.06540926,1341.46954861,4368.17645714,31207.5290279
Run 345,430.7281800571987,859.5997879840837,343.48156672702595,27.62441674434543,83.32882803332183,20.83208400131637,0.0732205169066781,6.93371185705731,0.1558725068762387,278.85580499463106,8.46381878805,8.13589246273,429.290473293,3147.90742307,8179.95700673,24665.8829653
Run 346,281.1593838786229,579.9029044902159,409.7308658753337,10.2404465389362,66.6845838473615,27.19252552752732,2.287791720376229,8.84886875578609,0.1920192256130465,278.85879841035546,8.61629587255,8.14117965136,487.040631338,2051.66304235,5768.57415157,28732.2816084
Run 347,382.6106146985442,538.1948198107199,278.03177994924,20.515569307463068,80.88066712038017,13.997706263316203,1.2800593906344284,11.832159911861018,0.161901993349267,276.2135760226109,9.01338078417,8.12920814903,277.885733309,2801.71847794,5385.14925185,28454.7581937
Run 348,461.9376350282609,674.7612257614038,203.3248241041355,21.2680154596574,71.76627815710563,27.28848249644613,1.0549789967931005,7.076745432900252,0.3280453091746976,280.42140250264976,8.36431253833,8.14214670155,261.251773224,3369.82682058,6451.56592373,26423.3463156
Run 349,130.90023301617435,545.0851172955538,232.279958531247,13.826388008862724,71.69471327029646,25.739076445295296,0.299664272922722,5.436314481329085,0.2430640602282582,280.41046817995294,8.3517323961,8.14302094927,299.420453376,954.664468567,5129.78149207,30492.8464068
Run 350,349.8681486817997,543.0888660860408,315.2497434324601,28.21011294809811,71.90547123517439,27.44664752994533,0.9870577886836028,5.0243075094496215,0.4953347682541013,275.34996276221824,8.22610798134,8.15352588865,418.425284202,2543.67170434,5080.51170689,28351.174205
Run 351,182.55074747358677,873.2376254810188,315.60380264279706,12.105098743362351,73.81423641826012,11.15201221819172,0.862194908533333,11.794770662434194,0.1461408828820339,278.0820139261562,9.47535033868,8.13170647534,249.933160692,1335.79015976,8667.31425896,26885.6118895
Run 352,409.6842341846896,593.2511585795689,289.47729241132726,12.25164824075306,89.14539575286369,24.38017328551806,0.7617990188795578,7.457072093926762,0.3007804611654793,276.57175987109974,8.46124556625,8.142353507,362.071809118,2988.44363623,5596.04331729,27648.5564682
Run 353,209.1017756282789,962.8295552454888,126.55681671325286,20.900086484362824,86.20075113295766,21.88165637832497,2.735594401924624,11.717822406506588,0.3605973215026526,278.01988871911544,8.62228495754,8.13956563928,150.109809445,1526.5656685,9401.74812718,25896.6007137
Run 354,480.77212523058097,623.9371937977761,385.8591210601336,10.069416111390735,61.62188541300118,24.391840130066683,1.9587741152836344,5.191284933176081,0.2551150253385306,278.98923464473364,8.34323986893,8.15135996109,498.466328835,3497.68306348,5994.75434775,26577.8386842
Run 355,83.84668466187534,954.6536500474492,496.1496295544546,27.19952112310726,84.0173384092092,19.42523945670809,0.2019052259362475,7.740008778558994,0.4186618419453959,279.81949908252227,8.37168761593,8.1382553111,636.2711628,612.354972668,9000.90899709,26393.5345709
Run 356,495.7482186441743,673.8141772564147,147.07923873698212,17.1187484295375,77.9348927570972,10.876442608625869,2.8664223533603463,4.585182258310838,0.2213678022307747,279.12381740791125,8.35905427223,8.15012727504,189.239551034,3607.95278733,6436.28081326,26346.1960196
Run 357,404.9983565027017,951.2914092284952,258.8896907767853,29.379001032392026,65.33885809875537,12.097846075093026,0.759105938199604,5.368421887022196,0.12357320352192,279.5258882082106,8.40001111908,8.14386036264,329.508557531,2952.96886132,9113.59685396,24127.5412624
Run 358,398.48288769375824,593.516839508884,175.36278295097043,15.744220387185257,55.20239554762024,24.33157188388585,2.3731833373923297,9.384546350071222,0.3427819430561268,278.82857746012013,8.49576961713,8.14795702454,217.062045829,2901.98160201,5918.94594979,27914.9503391
Run 359,436.63609667673103,766.6612539067864,297.2063730822065,11.823898189885805,65.20725237869874,11.033699015189525,2.6667097631798176,4.1979735378046925,0.1119697633937365,277.3475930678088,8.39316321219,8.15479393758,378.98095389,3173.3367866,7374.34627079,25759.8633958
Run 360,493.500263390033,635.4985385599837,400.1432695001553,10.444623129547804,86.94400327756553,20.21396596334339,0.3968547543763352,5.844470015258218,0.1307388254373761,279.0579997758652,8.47952998229,8.13971369493,497.750128136,3602.62648508,5977.32606522,26416.3718951
