"model","run","conv","nit","gamma","C1","C2","C3","kappa1","kappa2","kappa3","epsilon","sigma_eta","sigma_xi","F_4xCO2"
"CIESM","r1i1p1f1","TRUE","3013","0.812824213206546","5.27513435954224","11.6310436443375","69.1664335612404","0.677908703673183","2.65485912655334","0.997140855304213","1.3509647354558","0.355922582247608","0.547886515951052","8.48096365691836"
"CMCC-CM2-SR5","r1i1p1f1","TRUE","4553","26.3535465377312","3.51038015838851","12.0429721438122","49.8548161655989","1.08466599613356","2.05935637781678","0.737575566711405","1.29141661133187","2.72769327361005","0.804359004764005","8.08657712186328"
"CNRM-CM6-1","r1i1p1f2","TRUE","6357","4.52385743528772","4.28873403464361","18.6868164813538","325.37090595682","1.17860419377382","1.15181447962809","0.406252199936096","0.239544757769013","0.676839485774178","0.590019318440288","8.50925158037572"
"CNRM-CM6-1-HR","r1i1p1f2","TRUE","8100","7.10279100980695","4.16255351548134","11.8325454554622","90.2161864647255","0.938719895110846","1.98648153810627","0.649587889915586","0.801250260202816","0.687419837846021","0.475000232222239","7.70014903315864"
"CNRM-ESM2-1","r1i1p1f2","TRUE","3827","4.67327685095461","3.52842348541662","7.59982571261013","104.216517410979","0.677694385602413","2.62466797513809","0.69218553427598","0.832484594212646","0.886212968999079","0.498207784875784","5.89879186730513"
"CNRM-ESM2-1","r2i1p1f2","TRUE","3624","4.52346690760591","3.81301815759844","11.0206115465383","104.628272664852","0.667174945751088","1.70966253310293","0.80714264922317","1.02624724510282","0.84645380346066","0.495492431977725","6.21887124853252"
"CNRM-ESM2-1","r3i1p1f2","TRUE","3936","5.19969135253748","4.65804869967019","10.0860988424545","102.769784602196","0.664810747142981","1.81243366639417","0.700446661775312","0.850564072973266","0.845262658540725","0.632638977107702","5.87278549006623"
"E3SM-1-0","r1i1p1f1","TRUE","3054","3.06842585360687","3.6489887603863","9.57473598699077","42.3707004650997","0.584381128330756","2.36748570835467","0.367497360995699","1.49415523798572","0.910046481107178","0.6041452895124","7.04702833167956"
"EC-Earth3","r3i1p1f1","TRUE","5036","27.6148038234773","3.23655228154968","10.470282525138","33.6152008729707","0.822024663372838","2.67785336121892","0.563734297468826","1.2525895462864","2.34673109393296","0.739867995312873","7.12447503254825"
"EC-Earth3","r8i1p1f1","TRUE","6317","26.3584827392441","2.9445717473465","8.61801777958727","31.6116396462099","0.865216786901068","2.46574088003296","0.632204732455189","1.2044941117899","2.31797842950148","0.666963357574527","7.50246739884275"
"EC-Earth3-Veg","r1i1p1f1","TRUE","4406","25.2037558696063","3.23667668019473","10.7109464223156","31.0237301641744","0.835321041681064","2.20419383485689","0.593328138703637","1.25946148681515","2.65274523411914","0.680465155997972","7.45756661119877"
"FGOALS-f3-L","r1i1p1f1","TRUE","11682","26.9955197237456","1.92016482737502","10.261801754778","66.871634269918","1.46120895958787","5.63927377484063","0.732784296212994","1.46929142117009","2.62137703317561","0.619003197853126","9.35288229035026"
"FGOALS-f3-L","r2i1p1f1","TRUE","6607","22.5195843587538","0.478993282378349","10.7236640426651","69.729684480549","1.43514835160105","11.3637718721274","0.651514711763893","1.36270499877116","2.03219601766162","0.427660975226125","9.13954268880517"
"FGOALS-f3-L","r3i1p1f1","TRUE","6242","3.59247201667277","6.40290379133271","64.3048003190806","0.382227433503533","1.5681223048296","1.09314151702898","8.33861360697401","74.0660281285393","0.815553224367979","1.08251359317583","9.8682133700767"
"FGOALS-g3","r1i1p1f1","TRUE","4870","1.20403892339939","4.07849754709009","7.82113920663608","90.4299347538767","1.25723034493949","2.83003985688638","0.912923601955231","1.25469895100219","0.236514317366335","0.43921692422148","7.64951807212761"
"FIO-ESM-2-0","r1i1p1f1","TRUE","11751","25.6667552606926","2.96391258035432","8.38226052281509","91.5201476795679","0.87132482880221","4.81238967722576","0.863082278470774","1.31842147665988","1.61287613852812","0.598147372275259","8.13502037374955"
"FIO-ESM-2-0","r2i1p1f1","TRUE","3851","0.191604027156077","7.35692662820026","84.6820589927271","1.33735052710829","1.14209137759997","1.30866955722451","25.9732232458305","40.3916549914883","0.316809754223291","0.831186156832511","10.1885860126872"
"FIO-ESM-2-0","r3i1p1f1","TRUE","9567","23.2381365015086","3.60465496476571","9.78601237294056","96.6268106276274","0.873545665397987","3.26283444249229","0.803141109455725","1.10343214875401","1.54959734124898","0.54585492734243","7.63080332832919"
"GFDL-CM4","r1i1p1f1","TRUE","3525","2.72713262929968","5.31178842800652","0.160051763791105","81.181311715298","1.00355672321285","2.61768608007105","1.31944241356898","1.81053401809804","0.955526755617669","0.709219100061161","9.01775469570535"
"GFDL-ESM4","r1i1p1f1","TRUE","3416","4.31607066245498","4.31586501497317","10.5772582302382","124.489123249714","1.38285112582679","1.91944241602656","0.842107324117192","1.01852722751251","1.07339439645133","0.489970207986284","7.35997407321371"
"GISS-E2-1-G","r102i1p1f1","TRUE","6073","2.93577473948254","3.31627577061995","8.86946182235397","159.611639766354","1.61423643141868","2.55764210722747","1.07305990661062","0.93527050923504","0.558815894605761","0.761078856201357","8.34421903822352"
"GISS-E2-1-G","r1i1p1f1","TRUE","5718","2.89018052359858","3.59486488370028","10.5985709261783","163.148470420681","1.44145502574812","2.09138564543392","1.19573532210794","1.0890264266491","0.532187715151474","0.655492216867919","8.01876108207408"
"GISS-E2-1-G","r1i1p3f1","TRUE","6489","3.39912694398204","3.85803092738158","26.3793611030167","184.932108955035","1.36831490699717","1.63032385924646","1.4094730450901","1.29017246985915","0.471789072389059","0.823172530155163","7.77669031578341"
"GISS-E2-1-G","r1i1p5f1","TRUE","4804","1.95582093085768","3.29612503182431","15.2514316146942","220.062886680502","1.55446855898543","1.77927664701564","1.08955285153603","1.07509529171451","0.411145930610197","0.842022614572607","8.30715493613973"
"GISS-E2-1-H","r1i1p1f1","TRUE","5963","2.5904183304452","4.64313046052477","26.8470958789434","338.28977214804","1.6240833614202","1.16099296383875","0.312933627339993","0.142305761099702","0.563774162945683","0.796119711687229","8.32171629602014"
"GISS-E2-1-H","r1i1p3f1","TRUE","5080","3.62159148185995","2.24254749807542","9.69043067649427","77.9359390845225","1.10805775012531","4.31476509683328","0.784397439648341","1.19008905476217","0.550593024446408","0.591905409439842","7.20174171891884"
"GISS-E2-2-G","r1i1p1f1","TRUE","4395","2.38538096866791","3.60116034942941","11.3332792317658","313.527388282298","1.9723758527217","1.92246906631397","0.631270391601612","0.443555178964031","0.544190831339007","0.535408514363946","8.03522332737918"
"HadGEM3-GC31-LL","r1i1p1f3","TRUE","5630","3.12963897923067","3.86892327325423","9.25463523699386","66.4001476630035","0.611178155704393","2.85138606729672","0.642234465095887","1.17426974755357","0.457509944213318","0.611573628734181","7.22208497498549"
"HadGEM3-GC31-MM","r1i1p1f3","TRUE","4375","3.13166294264981","3.39663434098974","14.1435658600758","64.570851540839","0.646048880127845","2.00750186385638","0.69369688720208","1.04191325641892","0.497621111317478","0.433937853523664","7.15939898337063"
"IITM-ESM","r1i1p1f1","TRUE","2856","2.94611551424508","3.7583416507137","11.9681897138985","149.601510818685","1.99005741169862","2.7989880598349","1.00311270390566","1.05721012094786","1.14785483501607","0.543763075977059","9.42903138087085"
"INM-CM4-8","r1i1p1f1","TRUE","3680","2.50784703318888","4.34901774700552","9.81107579591343","22.2746437174891","1.57796926606927","1.89664752854654","0.554257956605051","1.44545585840979","0.436588797055503","0.26174336210887","5.94140212169105"
"INM-CM5-0","r1i1p1f1","TRUE","2764","1.91753870235758","4.57546591340479","11.4242750297217","48.6755929933953","1.5439488321376","1.90416024454752","0.584437521837258","1.4532413075283","0.442887181082181","0.323717802341809","6.23282452888799"
"IPSL-CM6A-LR","r1i1p1f1","TRUE","3121","3.21974213924801","3.40384729270423","13.2237987053169","61.7216432132366","0.719580776217032","1.75789894603554","0.484252421125262","1.27783372403266","0.904645977593478","0.492459886021346","7.04937754534497"
"KACE-1-0-G","r1i1p1f1","TRUE","4023","2.08218281510001","2.54462713152589","8.70657060922675","100.947619125713","0.728401969912724","3.62659261311597","0.867324302112265","1.25483512093029","0.359762402953853","0.353685205525579","7.80247031756081"
"KIOST-ESM","r1i1p1f1","TRUE","3371","2.3470435030616","2.14840843378845","9.64531126112726","95.0132062005967","0.934367235251798","3.0506594211083","0.945257940983144","1.40737788873973","0.610549486755134","0.315704930393905","7.22338328970586"
"MIROC-ES2L","r1i1p1f2","TRUE","4658","1.85143205926712","4.45595100540672","13.9700371298931","382.053635041741","2.18373291150159","1.89932886741413","0.581555329162108","0.158901474100338","0.691024676448688","0.947612625331771","9.12456813963189"
"MIROC6","r1i1p1f1","TRUE","3493","1.8642090786811","4.26787676609942","22.9466809483199","349.721282500335","1.99607926324052","1.20218149230741","0.596996124904179","0.37766654925753","0.706416282751189","0.886522119936194","8.57039073740566"
"MPI-ESM-1-2-HAM","r1i1p1f1","TRUE","7247","2.24117809820532","7.2443587899685","45.6275900478955","272.16697897124","1.77728670353834","0.878452492671258","0.30490152248035","0.206105106545696","0.530197818377699","0.682800227478357","9.28869441009802"
"MPI-ESM1-2-HR","r1i1p1f1","TRUE","5348","3.48899058072126","5.11998348083589","23.6380457575569","72.7608416845335","1.17172762966992","1.59241386498973","1.11457629680149","1.56269348388559","0.56991247639676","0.437153004754557","7.82380385629562"
"MPI-ESM1-2-LR","r1i1p1f1","TRUE","8259","2.1785392596269","6.58370391886104","50.6821590807497","216.06836891396","1.72399832695229","0.833664070465936","0.281988476850023","0.315899345125276","0.449233766348951","0.838804793191477","9.44080502431578"
"MRI-ESM2-0","r10i1p1f1","TRUE","3978","2.47854424165239","3.51763824808409","9.37776555283847","99.061154370155","1.10358500788236","3.71859680096532","1.09389927900498","1.34565476113702","0.708231066867504","0.601146710496251","7.5720547328677"
"MRI-ESM2-0","r13i1p1f1","TRUE","3102","2.84833753300136","4.4211690346453","11.1633500785599","97.9482439287218","1.16510824729041","2.43082080127629","1.23565941937931","1.2566377970431","0.818709175642007","0.503354320797354","7.65305726980058"
"MRI-ESM2-0","r1i1p1f1","TRUE","3500","2.99356999660406","4.24325734006233","10.5241437010823","94.0826158129446","1.10878541666506","2.85127029169601","1.25034365926685","1.33325597144527","0.976903890556766","0.515173982788575","7.56298401384327"
"MRI-ESM2-0","r1i2p1f1","TRUE","3788","3.06473283977354","4.03971393203316","8.95314055941107","105.543314321927","1.16427947103249","2.83139675033292","1.14503941764123","1.17520767488332","0.895320123146586","0.507673285910702","7.48338284799448"
"MRI-ESM2-0","r4i1p1f1","TRUE","3680","2.63218133934686","4.2129302716366","9.74078676127717","97.3315541291887","1.10938300334144","2.85317303154128","1.17866958859268","1.24406926193986","0.783898308751095","0.509540901915718","7.39808675621746"
"MRI-ESM2-0","r7i1p1f1","TRUE","4242","2.41119947000846","3.64308129492061","11.6896960787952","99.2603292737842","1.06059021063296","2.85662981221889","1.10183333874651","1.24021311480105","0.693130363673431","0.525865253411875","7.1801624366378"
"NESM3","r1i1p1f1","TRUE","4420","2.79816038772638","2.49264925545613","19.2106744210912","125.556558601295","0.964651048682146","1.05154389680369","0.478705686638135","0.724891566137003","0.546580874579702","0.272723531042996","8.15169656852387"
"NorCPM1","r1i1p1f1","TRUE","3976","1.81521188375796","5.73489981697773","17.7904082773731","90.5667156122997","1.03338806499444","2.05025586396652","1.34484133432875","1.50887288138659","0.490771697970499","0.496155493295056","7.25799340105415"
"NorESM2-MM","r1i1p1f1","TRUE","2851","1.48435239470435","4.12348435439321","121.701572279951","0.0377787201531505","1.95805430932704","0.788005709672174","1.51769021886179","0.316871116549128","1.31153955378742","0.66158254068311","9.10009905060345"
"SAM0-UNICON","r1i1p1f1","TRUE","3491","2.43870728274937","4.62908949645245","6.32746706324643","110.575222841628","1.04338697698999","2.69308265146164","1.03015175836195","1.25354998699404","0.803119548455412","0.641106729592145","8.36013331403606"
"TaiESM1","r1i1p1f1","TRUE","4096","2.04489338336179","5.0640205550514","8.99944079387424","91.0691571941312","0.873503429395501","2.31439728091659","0.919601014700935","1.23367384973889","0.461611449381016","0.687215525730755","8.15005900311732"
"UKESM1-0-LL","r1i1p1f2","TRUE","6150","3.54845062930965","2.91721639477921","11.2831178346331","73.2484696810036","0.655766801158918","2.59792924168259","0.612934667235504","1.13370636902357","0.497440654783142","0.439125450900152","7.37878714210068"
